@id,rdf:type,skos:prefLabel,skos:altLabel,skos:definition,skos:note,skos:inScheme,skos:broader,skos:topConceptOf,pav:version,dcterms:source
cpg235:0411,skos:Concept,Awareness of risks involved in outsourcing/offshoring of data management responsibilities,,APRA expects a regulated entity to apply a cautious and measured approach when considering retaining data outside the jurisdiction it pertains to. It is important that a regulated entity is fully aware of the risks involved and makes a conscious and informed decision as to whether the additional risks are within its risk appetite.,CPG 235 - Managing Data Risk s 48,cpg235:scheme,cpg235:0410,,,
cpg235:0412,skos:Concept,Decision as to whether additional risks of outsourcing/offshoring of data management responsibilities are within risk appetite,,APRA expects a regulated entity to apply a cautious and measured approach when considering retaining data outside the jurisdiction it pertains to. It is important that a regulated entity is fully aware of the risks involved and makes a conscious and informed decision as to whether the additional risks are within its risk appetite.,CPG 235 - Managing Data Risk s 48,cpg235:scheme,cpg235:0410,,,
cpg235:0413,skos:Concept,Demonstrable capabilities when  outsourcing/offshoring data management responsibilities,,,CPG 235 - Managing Data Risk s 49,cpg235:scheme,cpg235:0410,,,
cpg235:0414,skos:Concept,Ability to continue operations and meet core obligations following a loss of services,,,CPG 235 - Managing Data Risk s 49(a),cpg235:scheme,cpg235:0413,,,
cpg235:0415,skos:Concept,Maintenance of the quality of critical or sensitive data,,,CPG 235 - Managing Data Risk s 49(b),cpg235:scheme,cpg235:0413,,,
cpg235:0416,skos:Concept,Compliance with legislative and prudential requirements,,,CPG 235 - Managing Data Risk s 49(c),cpg235:scheme,cpg235:0413,,,
cpg235:0417,skos:Concept,Lack of impediments to APRA being able to fulfil its duties as prudential regulator,,,CPG 235 - Managing Data Risk s 49(d),cpg235:scheme,cpg235:0413,,,
cpg235:0418,skos:Concept,Assessment and ongoing management of outsourced/offshored data management responsibilities,,,CPG 235 - Managing Data Risk s 50,cpg235:scheme,cpg235:0410,,,
cpg235:0419,skos:Concept,Application of enterprise frameworks,,,CPG 235 - Managing Data Risk s 50(a),cpg235:scheme,cpg235:0418,,,
cpg235:0420,skos:Concept,Detailed risk assessments of the specific arrangements underlying the outsourced/offshored data services offered,,"Normally includes assessments of the service provider, the location from which the services are to be provided and the criticality and sensitivity of the data involved.",CPG 235 - Managing Data Risk s 50(b),cpg235:scheme,cpg235:0418,,,
cpg235:0421,skos:Concept,Detailed understanding of the extent and nature of the business processes and the sensitivity/criticality of the data impacted by outsourced/offshored data services arrangement,,,CPG 235 - Managing Data Risk s 50(c),cpg235:scheme,cpg235:0418,,,
cpg235:0422,skos:Concept,Alignment with the data architecture supporting the broader information technology and business strategies,,,CPG 235 - Managing Data Risk s 50(d),cpg235:scheme,cpg235:0418,,,
cpg235:0423,skos:Concept,Business case justifying the additional risk exposures,,,CPG 235 - Managing Data Risk s 50(e),cpg235:scheme,cpg235:0418,,,
cpg235:0424,skos:Concept,"Board/senior management's understanding, acceptance and approval of the resulting risk profile",,,CPG 235 - Managing Data Risk s 50(f),cpg235:scheme,cpg235:0418,,,
cpg235:0425,skos:Concept,Periodic reassessment of risks in line with the entity's risk management framework,,,CPG 235 - Managing Data Risk s 50(g),cpg235:scheme,cpg235:0418,,,
cpg235:0500,skos:Concept,Data validation,,,,cpg235:scheme,,cpg235:scheme,,
cpg235:0510,skos:Concept,Assessment of fitness for use,,,,cpg235:scheme,cpg235:0500,,,
cpg235:0511,skos:Concept,Set of controls for ensuring that data meets quality requirements,,Data validation is the assessment of the data against business rules to determine its fitness for use prior to further processing. It constitutes a key set of controls for ensuring that data meets quality requirements.,CPG 235 - Managing Data Risk s 51,cpg235:scheme,cpg235:0510,,,
cpg235:0512,skos:Concept,Implement data validation controls at the point of capture and at various points throughout the data's life-cycle.,,Strength of the validation controls would be commensurate with the nature of the data and its classification.,CPG 235 - Managing Data Risk s 52,cpg235:scheme,cpg235:0510,,,
cpg235:0513,skos:Concept,Considerations when validating data,,,CPG 235 - Managing Data Risk s 53,cpg235:scheme,cpg235:0510,,,
cpg235:0514,skos:Concept,Level of trustworthiness,,Is the data from a provider with a known control environment and track record.,CPG 235 - Managing Data Risk s 53,cpg235:scheme,cpg235:0513,,,
cpg235:0515,skos:Concept,Extent to which data quality degrades over time,,,CPG 235 - Managing Data Risk s 53,cpg235:scheme,cpg235:0513,,,
cpg235:0516,skos:Concept,Common forms of data validation,,,CPG 235 - Managing Data Risk s 54,cpg235:scheme,cpg235:0510,,,
cpg235:0517,skos:Concept,Verification of format,,,CPG 235 - Managing Data Risk s 54,cpg235:scheme,cpg235:0516,,,
cpg235:0518,skos:Concept,Verification of type,,,CPG 235 - Managing Data Risk s 54,cpg235:scheme,cpg235:0516,,,
cpg235:0519,skos:Concept,Verification of value range,,,CPG 235 - Managing Data Risk s 54,cpg235:scheme,cpg235:0516,,,
cpg235:0520,skos:Concept,Verification of currency,,,CPG 235 - Managing Data Risk s 54,cpg235:scheme,cpg235:0516,,,
cpg235:0521,skos:Concept,Verification of presence,,,CPG 235 - Managing Data Risk s 54,cpg235:scheme,cpg235:0516,,,
cpg235:0522,skos:Concept,Verification of consistency,,,CPG 235 - Managing Data Risk s 54,cpg235:scheme,cpg235:0516,,,
cpg235:0523,skos:Concept,Verification of completeness,,,CPG 235 - Managing Data Risk s 54,cpg235:scheme,cpg235:0516,,,
cpg235:0524,skos:Concept,Common forms of data validation at dataset level,,,CPG 235 - Managing Data Risk s 54,cpg235:scheme,cpg235:0510,,,
cpg235:0525,skos:Concept,Control totalling,,"Aggregation techniques including hash totalling, amount totalling and record counts.",CPG 235 - Managing Data Risk s 54(a),cpg235:scheme,cpg235:0524,,,
cpg235:0526,skos:Concept,Reconciliation,,Comparing two sets of data and explaining variances.,CPG 235 - Managing Data Risk s 54(b),cpg235:scheme,cpg235:0524,,,
cpg235:0527,skos:Concept,Benchmarking,,"Comparing two sets of data that would normally exhibit similar characteristics, in order to highlight material variations.",CPG 235 - Managing Data Risk s 54(c),cpg235:scheme,cpg235:0524,,,
cpg235:0528,skos:Concept,Data profiling,,"Examination of a data set and the gathering of statistics and other relevant information for the purposes of analysis to highlight any data anomalies (e.g. missing data, outliers, unexpected variances).",CPG 235 - Managing Data Risk s 54(d),cpg235:scheme,cpg235:0524,,,
cpg235:0529,skos:Concept,Review of data for reasonableness using expert judgement,,"A review of data for reasonableness using expert judgement. In APRA's view, where other validation controls cannot be easily implemented, a review of data for reasonableness using expert judgement would be beneficial as a minimum.","CPG 235 - Managing Data Risk s 54(e), CPG 235 - Managing Data Risk s 55",cpg235:scheme,cpg235:0524,,,
cpg235:0530,skos:Concept,Document data validation processes,,"A regulated entity would normally document data validation processes, including their nature, frequency and level of granularity.",CPG 235 - Managing Data Risk s 56,cpg235:scheme,cpg235:0510,,,
cpg235:0531,skos:Concept,Nature of data validation,,,CPG 235 - Managing Data Risk s 56,cpg235:scheme,cpg235:0530,,,
cpg235:0532,skos:Concept,Frequency of data validation,,,CPG 235 - Managing Data Risk s 56,cpg235:scheme,cpg235:0530,,,
cpg235:0533,skos:Concept,Level of granularity of data validation,,,CPG 235 - Managing Data Risk s 56,cpg235:scheme,cpg235:0530,,,
cpg235:0534,skos:Concept,Provide clear allocation of accountabilities,,"In APRA's view, data validation processes can be a key consideration when designing data quality metrics.",CPG 235 - Managing Data Risk s 56,cpg235:scheme,cpg235:0510,,,
cpg235:0535,skos:Concept,Detection of data anomalies,,,CPG 235 - Managing Data Risk s 56,cpg235:scheme,cpg235:0534,,,
cpg235:0536,skos:Concept,Investigation of data anomalies,,,CPG 235 - Managing Data Risk s 56,cpg235:scheme,cpg235:0534,,,
cpg235:0537,skos:Concept,Reporting of data anomalies,,,CPG 235 - Managing Data Risk s 56,cpg235:scheme,cpg235:0534,,,
cpg235:0538,skos:Concept,Escalation of data anomalies,,,CPG 235 - Managing Data Risk s 56,cpg235:scheme,cpg235:0534,,,
cpg235:0540,skos:Concept,Data cleansing,,"Act of detecting and correcting, including data removal or addition of missing data, erroneous data.  Erroneous data is anything that does not meet the quality objectives of the regulated entity.",CPG 235 - Managing Data Risk s 57,cpg235:scheme,cpg235:0500,,,
cpg235:0541,skos:Concept,Periodically cleanse data,,"As part of key business events such as member rollovers, claims, policy renewal.",CPG 235 - Managing Data Risk s 57,cpg235:scheme,cpg235:0540,,,
cpg235:0542,skos:Concept,Ensure data quality remains at or above the required level,,,CPG 235 - Managing Data Risk s 57,cpg235:scheme,cpg235:0540,,,
cpg235:0543,skos:Concept,Data cleansing where the data quality level requirements change over time,,As a result of new usages or changes to existing processes.,CPG 235 - Managing Data Risk s 57,cpg235:scheme,cpg235:0540,,,
cpg235:0544,skos:Concept,Data cleansing when undergoing material change,,Such as a system migration.,CPG 235 - Managing Data Risk s 57,cpg235:scheme,cpg235:0540,,,
cpg235:0600,skos:Concept,Monitoring and management of data issues,,,,cpg235:scheme,,cpg235:scheme,,
cpg235:0610,skos:Concept,Monitoring processes,,,,cpg235:scheme,cpg235:0600,,,
cpg235:0611,skos:Concept,Monitoring processes to identify potential data issues,,The strength of monitoring controls would typically be commensurate with the criticality and sensitivity of the data. APRA envisages that alerts would be investigated in a timely manner with an appropriate response to address anomalies.,CPG 235 - Managing Data Risk s 58,cpg235:scheme,cpg235:0610,,,
cpg235:0612,skos:Concept,Clear allocation of responsibility for regular monitoring of data,,,CPG 235 - Managing Data Risk s 59,cpg235:scheme,cpg235:0610,,,
cpg235:0613,skos:Concept,Appropriate processes and tools are in place to manage the volume of monitoring required,,,CPG 235 - Managing Data Risk s 59,cpg235:scheme,cpg235:0610,,,
cpg235:0620,skos:Concept,Data issue management,,,,cpg235:scheme,cpg235:0600,,,
cpg235:0621,skos:Concept,Appropriate processes to manage all stages of a data issue,,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0620,,,
cpg235:0622,skos:Concept,Stages of data issue,,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0621,,,
cpg235:0623,skos:Concept,Detection,,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0622,,,
cpg235:0624,skos:Concept,Identification,,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0622,,,
cpg235:0625,skos:Concept,Containment,,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0622,,,
cpg235:0626,skos:Concept,"Investigation, ",,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0622,,,
cpg235:0627,skos:Concept,Evidence gathering,,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0622,,,
cpg235:0628,skos:Concept,Resolution,,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0622,,,
cpg235:0629,skos:Concept,Return to business-as-usual,,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0622,,,
cpg235:0630,skos:Concept,Adjustment of controls,,To reduce the risk of similar issues in the future.,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0622,,,
cpg235:0631,skos:Concept,Common data issues,,,CPG 235 - Managing Data Risk s 60,cpg235:scheme,cpg235:0621,,,
cpg235:0632,skos:Concept,Processing errors impacting on the accuracy and completeness of balances and transactions,,,CPG 235 - Managing Data Risk s 60(a),cpg235:scheme,cpg235:0631,,,
cpg235:0633,skos:Concept,Lack of timeliness in updating data intended to reflect recent market conditions or assessments,,,CPG 235 - Managing Data Risk s 60(b),cpg235:scheme,cpg235:0631,,,
cpg235:0634,skos:Concept,"Inadequate data availability, accuracy or consistency resulting in pricing and valuation errors",,,CPG 235 - Managing Data Risk s 60(c),cpg235:scheme,cpg235:0631,,,
cpg235:0635,skos:Concept,Data leakage leading to a breach of confidentiality,,,CPG 235 - Managing Data Risk s 60(d),cpg235:scheme,cpg235:0631,,,
cpg235:0636,skos:Concept,Failure to accurately execute instructions in a timely manner,,,CPG 235 - Managing Data Risk s 60(e),cpg235:scheme,cpg235:0631,,,
cpg235:0637,skos:Concept,Failure to maintain data quality when migrating data to another system,,,CPG 235 - Managing Data Risk s 60(f),cpg235:scheme,cpg235:0631,,,
cpg235:0638,skos:Concept,"Data that is not fit-for-use, resulting in poor business decisions",,,CPG 235 - Managing Data Risk s 60(g),cpg235:scheme,cpg235:0631,,,
cpg235:0639,skos:Concept,Data issue management capabilities,,"Due to resource constraints, regulated entities would normally prioritise remediation of data issues. A combination of tactical and strategic solutions may be required, depending on the root cause, including containment of identified issues. ",CPG 235 - Managing Data Risk s 61,cpg235:scheme,cpg235:0620,,,
cpg235:0640,skos:Concept,Clear accountability and communication strategies to limit the impact of data issues,,Issue management strategies would also typically assist in compliance with regulatory and legal requirements.,CPG 235 - Managing Data Risk s 61(a),cpg235:scheme,cpg235:0639,,,
cpg235:0641,skos:Concept,Defined mechanisms and thresholds for escalation and reporting to the Board and senior management,,,CPG 235 - Managing Data Risk s 61(a),cpg235:scheme,cpg235:0640,,,
cpg235:0642,skos:Concept,Defined mechanisms and thresholds for customer communication,,,CPG 235 - Managing Data Risk s 61(a),cpg235:scheme,cpg235:0640,,,
cpg235:0643,skos:Concept,Root cause analysis of the data issue,,"Underlying cause of the issue is identified and analysed, with controls adjusted to reduce the likelihood of a future occurrence.",CPG 235 - Managing Data Risk s 61(b),cpg235:scheme,cpg235:0639,,,
cpg235:0644,skos:Concept,Provide feedback to data providers whenever data quality falls below the quality required,,"In APRA's view, it could be beneficial for data users to provide feedback to data providers, both within the regulated entity as well as external parties, whenever data quality falls below the quality required.",CPG 235 - Managing Data Risk s 62,cpg235:scheme,cpg235:0620,,,
cpg235:0645,skos:Concept,Data quality metrics,,,,cpg235:scheme,cpg235:0600,,,
cpg235:0646,skos:Concept,Areas to target the use of metrics,,,CPG 235 - Managing Data Risk s 63,cpg235:scheme,cpg235:0645,,,
cpg235:0647,skos:Concept,"Areas where there are regulatory, legal and specific industry requirements",,,CPG 235 - Managing Data Risk s 63(a),cpg235:scheme,cpg235:0646,,,
cpg235:0648,skos:Concept,Areas that have the greatest sensitivity/criticality,,As determined by the risk assessment process.,CPG 235 - Managing Data Risk s 63(b),cpg235:scheme,cpg235:0646,,,
cpg235:0649,skos:Concept,Each dimension of data quality measured by at least one metric,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0645,,,
cpg235:0650,skos:Concept,Characteristics of effective metrics,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0649,,,
cpg235:0651,skos:Concept,Specific,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0650,,,
cpg235:0652,skos:Concept,Measurable,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0650,,,
cpg235:0653,skos:Concept,Business oriented,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0650,,,
cpg235:0654,skos:Concept,Controllable,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0650,,,
cpg235:0655,skos:Concept,Reportable,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0650,,,
cpg235:0656,skos:Concept,Involve the inspection of data,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0650,,,
cpg235:0657,skos:Concept,Examples of data quality metrics,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0649,,,
cpg235:0658,skos:Concept,Error rates,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0657,,,
cpg235:0659,skos:Concept,Timeliness measures,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0657,,,
cpg235:0660,skos:Concept,Materiality thresholds,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0657,,,
cpg235:0661,skos:Concept,Reconciliation exceptions,,,CPG 235 - Managing Data Risk s 64,cpg235:scheme,cpg235:0657,,,
cpg235:0662,skos:Concept,Systematic way to address data quality gaps,,,CPG 235 - Managing Data Risk s 65,cpg235:scheme,cpg235:0645,,,
cpg235:0663,skos:Concept,Data quality plan,,,CPG 235 - Managing Data Risk s 65,cpg235:scheme,cpg235:0662,,,
cpg235:0664,skos:Concept,Target data quality metrics,,,CPG 235 - Managing Data Risk s 65,cpg235:scheme,cpg235:0663,,,
cpg235:0665,skos:Concept,Timeframes for resolution,,,CPG 235 - Managing Data Risk s 65,cpg235:scheme,cpg235:0663,,,
cpg235:0666,skos:Concept,Associated action plans for closing gaps,,Action plans would typically be prioritised and tracked. ,CPG 235 - Managing Data Risk s 65,cpg235:scheme,cpg235:0663,,,
cpg235:0700,skos:Concept,Data risk management assurance,,,,cpg235:scheme,,cpg235:scheme,,
cpg235:0701,skos:Concept,Assurance program,,,,cpg235:scheme,cpg235:0700,,,
cpg235:0702,skos:Concept,Broader assurance program,,APRA expects that a regulated entity would seek regular assurance that data quality is appropriate and data risk management is effective. This would normally be implemented through the broader assurance program and result in a systematic assessment of data risk and the control environment over time. Assurance responsibilities would typically be conducted by internal audit or another independent function.,CPG 235 - Managing Data Risk s 66,cpg235:scheme,cpg235:0701,,,
cpg235:0703,skos:Concept,Systematic assessment of data risk and the control environment over time,,,CPG 235 - Managing Data Risk s 66,cpg235:scheme,cpg235:0701,,,
cpg235:0710,skos:Concept,Frequency of assurance,,,,cpg235:scheme,cpg235:0700,,,
cpg235:0711,skos:Concept,Multi-year schedule of testing,,"A regulated entity would benefit from a multi-year schedule of testing that incorporates both adequacy and compliance-type reviews, with the program of work determined on a risk basis. Additional assurance work may be triggered by changes to vulnerabilities/threats or material changes to the business/information technology environment.",CPG 235 - Managing Data Risk s 67,cpg235:scheme,cpg235:0710,,,
cpg235:0712,skos:Concept,Inspection of data,,,CPG 235 - Managing Data Risk s 67(a),cpg235:scheme,cpg235:0711,,,
cpg235:0713,skos:Concept,Data risk management review,,,CPG 235 - Managing Data Risk s 67(b),cpg235:scheme,cpg235:0711,,,
cpg235:0714,skos:Concept,General information technology control review,,,CPG 235 - Managing Data Risk s 67(c),cpg235:scheme,cpg235:0711,,,
cpg235:0715,skos:Concept,Data architecture review,,,CPG 235 - Managing Data Risk s 67(d),cpg235:scheme,cpg235:0711,,,
cpg235:0716,skos:Concept,Data governance review,,,CPG 235 - Managing Data Risk s 67(e),cpg235:scheme,cpg235:0711,,,
cpg235:0717,skos:Concept,Data metrics review,,,CPG 235 - Managing Data Risk s 67(f),cpg235:scheme,cpg235:0711,,,
cpg235:0718,skos:Concept,Data quality plan review,,,CPG 235 - Managing Data Risk s 67(f),cpg235:scheme,cpg235:0711,,,
cpg235:0719,skos:Concept,Schedule of testing,,"The schedule of testing would typically ensure that all aspects of the data control environment are assessed over time, commensurate with the sensitivity and criticality of the data.",CPG 235 - Managing Data Risk s 68,cpg235:scheme,cpg235:0710,,,
